Nadir angle (deg),GPS 2,GPS 3,GPS 4,GPS 5,GPS 6,GPS 7,GPS 8
0,14.82,14.82,14.82,14.82,14.89,14.89,14.89
0.1,14.83,14.83,14.83,14.83,14.88,14.88,14.88
0.2,14.83,14.83,14.83,14.83,14.87,14.87,14.87
0.3,14.82,14.82,14.82,14.82,14.86,14.86,14.86
0.4,14.81,14.81,14.81,14.81,14.85,14.85,14.85
0.5,14.8,14.8,14.8,14.8,14.84,14.84,14.84
0.6,14.79,14.79,14.79,14.79,14.83,14.83,14.83
0.7,14.78,14.78,14.78,14.78,14.83,14.83,14.83
0.8,14.77,14.77,14.77,14.77,14.82,14.82,14.82
0.9,14.76,14.76,14.76,14.76,14.82,14.82,14.82
1,14.76,14.76,14.76,14.76,14.81,14.81,14.81
1.1,14.75,14.75,14.75,14.75,14.8,14.8,14.8
1.2,14.74,14.74,14.74,14.74,14.8,14.8,14.8
1.3,14.73,14.73,14.73,14.73,14.79,14.79,14.79
1.4,14.72,14.72,14.72,14.72,14.78,14.78,14.78
1.5,14.71,14.71,14.71,14.71,14.78,14.78,14.78
1.6,14.7,14.7,14.7,14.7,14.77,14.77,14.77
1.7,14.68,14.68,14.68,14.68,14.77,14.77,14.77
1.8,14.67,14.67,14.67,14.67,14.76,14.76,14.76
1.9,14.65,14.65,14.65,14.65,14.75,14.75,14.75
2,14.64,14.64,14.64,14.64,14.74,14.74,14.74
2.1,14.62,14.62,14.62,14.62,14.72,14.72,14.72
2.2,14.61,14.61,14.61,14.61,14.7,14.7,14.7
2.3,14.59,14.59,14.59,14.59,14.68,14.68,14.68
2.4,14.58,14.58,14.58,14.58,14.66,14.66,14.66
2.5,14.56,14.56,14.56,14.56,14.64,14.64,14.64
2.6,14.55,14.55,14.55,14.55,14.62,14.62,14.62
2.7,14.53,14.53,14.53,14.53,14.6,14.6,14.6
2.8,14.51,14.51,14.51,14.51,14.58,14.58,14.58
2.9,14.5,14.5,14.5,14.5,14.56,14.56,14.56
3,14.48,14.48,14.48,14.48,14.54,14.54,14.54
3.1,14.47,14.47,14.47,14.47,14.52,14.52,14.52
3.2,14.45,14.45,14.45,14.45,14.5,14.5,14.5
3.3,14.44,14.44,14.44,14.44,14.48,14.48,14.48
3.4,14.42,14.42,14.42,14.42,14.46,14.46,14.46
3.5,14.4,14.4,14.4,14.4,14.45,14.45,14.45
3.6,14.38,14.38,14.38,14.38,14.43,14.43,14.43
3.7,14.36,14.36,14.36,14.36,14.42,14.42,14.42
3.8,14.35,14.35,14.35,14.35,14.4,14.4,14.4
3.9,14.33,14.33,14.33,14.33,14.39,14.39,14.39
4,14.31,14.31,14.31,14.31,14.37,14.37,14.37
4.1,14.29,14.29,14.29,14.29,14.36,14.36,14.36
4.2,14.27,14.27,14.27,14.27,14.34,14.34,14.34
4.3,14.26,14.26,14.26,14.26,14.33,14.33,14.33
4.4,14.24,14.24,14.24,14.24,14.31,14.31,14.31
4.5,14.22,14.22,14.22,14.22,14.3,14.3,14.3
4.6,14.2,14.2,14.2,14.2,14.29,14.29,14.29
4.7,14.18,14.18,14.18,14.18,14.27,14.27,14.27
4.8,14.17,14.17,14.17,14.17,14.26,14.26,14.26
4.9,14.15,14.15,14.15,14.15,14.26,14.26,14.26
5,14.13,14.13,14.13,14.13,14.25,14.25,14.25
5.1,14.11,14.11,14.11,14.11,14.24,14.24,14.24
5.2,14.09,14.09,14.09,14.09,14.24,14.24,14.24
5.3,14.08,14.08,14.08,14.08,14.23,14.23,14.23
5.4,14.06,14.06,14.06,14.06,14.22,14.22,14.22
5.5,14.04,14.04,14.04,14.04,14.21,14.21,14.21
5.6,14.02,14.02,14.02,14.02,14.21,14.21,14.21
5.7,14,14,14,14,14.2,14.2,14.2
5.8,13.99,13.99,13.99,13.99,14.19,14.19,14.19
5.9,13.97,13.97,13.97,13.97,14.19,14.19,14.19
6,13.95,13.95,13.95,13.95,14.18,14.18,14.18
6.1,13.93,13.93,13.93,13.93,14.18,14.18,14.18
6.2,13.91,13.91,13.91,13.91,14.18,14.18,14.18
6.3,13.9,13.9,13.9,13.9,14.17,14.17,14.17
6.4,13.88,13.88,13.88,13.88,14.17,14.17,14.17
6.5,13.86,13.86,13.86,13.86,14.17,14.17,14.17
6.6,13.84,13.84,13.84,13.84,14.16,14.16,14.16
6.7,13.82,13.82,13.82,13.82,14.16,14.16,14.16
6.8,13.81,13.81,13.81,13.81,14.16,14.16,14.16
6.9,13.79,13.79,13.79,13.79,14.15,14.15,14.15
7,13.77,13.77,13.77,13.77,14.15,14.15,14.15
7.1,13.75,13.75,13.75,13.75,14.15,14.15,14.15
7.2,13.74,13.74,13.74,13.74,14.16,14.16,14.16
7.3,13.72,13.72,13.72,13.72,14.17,14.17,14.17
7.4,13.71,13.71,13.71,13.71,14.18,14.18,14.18
7.5,13.69,13.69,13.69,13.69,14.19,14.19,14.19
7.6,13.68,13.68,13.68,13.68,14.19,14.19,14.19
7.7,13.67,13.67,13.67,13.67,14.2,14.2,14.2
7.8,13.66,13.66,13.66,13.66,14.21,14.21,14.21
7.9,13.65,13.65,13.65,13.65,14.22,14.22,14.22
8,13.64,13.64,13.64,13.64,14.23,14.23,14.23
8.1,13.63,13.63,13.63,13.63,14.23,14.23,14.23
8.2,13.62,13.62,13.62,13.62,14.24,14.24,14.24
8.3,13.61,13.61,13.61,13.61,14.25,14.25,14.25
8.4,13.6,13.6,13.6,13.6,14.26,14.26,14.26
8.5,13.59,13.59,13.59,13.59,14.27,14.27,14.27
8.6,13.58,13.58,13.58,13.58,14.28,14.28,14.28
8.7,13.57,13.57,13.57,13.57,14.29,14.29,14.29
8.8,13.56,13.56,13.56,13.56,14.31,14.31,14.31
8.9,13.55,13.55,13.55,13.55,14.33,14.33,14.33
9,13.54,13.54,13.54,13.54,14.35,14.35,14.35
9.1,13.52,13.52,13.52,13.52,14.36,14.36,14.36
9.2,13.51,13.51,13.51,13.51,14.38,14.38,14.38
9.3,13.5,13.5,13.5,13.5,14.4,14.4,14.4
9.4,13.49,13.49,13.49,13.49,14.41,14.41,14.41
9.5,13.48,13.48,13.48,13.48,14.43,14.43,14.43
9.6,13.47,13.47,13.47,13.47,14.45,14.45,14.45
9.7,13.47,13.47,13.47,13.47,14.46,14.46,14.46
9.8,13.47,13.47,13.47,13.47,14.48,14.48,14.48
9.9,13.47,13.47,13.47,13.47,14.5,14.5,14.5
10,13.47,13.47,13.47,13.47,14.51,14.51,14.51
10.1,13.47,13.47,13.47,13.47,14.53,14.53,14.53
10.2,13.47,13.47,13.47,13.47,14.55,14.55,14.55
10.3,13.47,13.47,13.47,13.47,14.57,14.57,14.57
10.4,13.47,13.47,13.47,13.47,14.58,14.58,14.58
10.5,13.47,13.47,13.47,13.47,14.6,14.6,14.6
10.6,13.47,13.47,13.47,13.47,14.62,14.62,14.62
10.7,13.47,13.47,13.47,13.47,14.64,14.64,14.64
10.8,13.47,13.47,13.47,13.47,14.65,14.65,14.65
10.9,13.47,13.47,13.47,13.47,14.67,14.67,14.67
11,13.47,13.47,13.47,13.47,14.69,14.69,14.69
11.1,13.47,13.47,13.47,13.47,14.71,14.71,14.71
11.2,13.46,13.46,13.46,13.46,14.73,14.73,14.73
11.3,13.44,13.44,13.44,13.44,14.74,14.74,14.74
11.4,13.43,13.43,13.43,13.43,14.76,14.76,14.76
11.5,13.42,13.42,13.42,13.42,14.78,14.78,14.78
11.6,13.41,13.41,13.41,13.41,14.8,14.8,14.8
11.7,13.39,13.39,13.39,13.39,14.81,14.81,14.81
11.8,13.38,13.38,13.38,13.38,14.82,14.82,14.82
11.9,13.37,13.37,13.37,13.37,14.83,14.83,14.83
12,13.36,13.36,13.36,13.36,14.84,14.84,14.84
12.1,13.34,13.34,13.34,13.34,14.85,14.85,14.85
12.2,13.33,13.33,13.33,13.33,14.86,14.86,14.86
12.3,13.32,13.32,13.32,13.32,14.87,14.87,14.87
12.4,13.31,13.31,13.31,13.31,14.88,14.88,14.88
12.5,13.3,13.3,13.3,13.3,14.89,14.89,14.89
12.6,13.28,13.28,13.28,13.28,14.9,14.9,14.9
12.7,13.27,13.27,13.27,13.27,14.91,14.91,14.91
12.8,13.26,13.26,13.26,13.26,14.92,14.92,14.92
12.9,13.25,13.25,13.25,13.25,14.93,14.93,14.93
13,13.23,13.23,13.23,13.23,14.94,14.94,14.94
13.1,13.22,13.22,13.22,13.22,14.95,14.95,14.95
13.2,13.21,13.21,13.21,13.21,14.96,14.96,14.96
13.3,13.2,13.2,13.2,13.2,14.95,14.95,14.95
13.4,13.18,13.18,13.18,13.18,14.94,14.94,14.94
13.5,13.17,13.17,13.17,13.17,14.94,14.94,14.94
13.6,13.15,13.15,13.15,13.15,14.93,14.93,14.93
13.7,13.14,13.14,13.14,13.14,14.92,14.92,14.92
13.8,13.12,13.12,13.12,13.12,14.91,14.91,14.91
13.9,13.11,13.11,13.11,13.11,14.91,14.91,14.91
14,13.09,13.09,13.09,13.09,14.9,14.9,14.9
14.1,13.08,13.08,13.08,13.08,14.89,14.89,14.89
14.2,13.06,13.06,13.06,13.06,14.89,14.89,14.89
14.3,13.05,13.05,13.05,13.05,14.88,14.88,14.88
14.4,13.03,13.03,13.03,13.03,14.87,14.87,14.87
14.5,13.02,13.02,13.02,13.02,14.87,14.87,14.87
14.6,13,13,13,13,14.86,14.86,14.86
14.7,12.99,12.99,12.99,12.99,14.85,14.85,14.85
14.8,12.97,12.97,12.97,12.97,14.81,14.81,14.81
14.9,12.96,12.96,12.96,12.96,14.77,14.77,14.77
15,12.94,12.94,12.94,12.94,14.74,14.74,14.74
15.1,12.93,12.93,12.93,12.93,14.7,14.7,14.7
15.2,12.91,12.91,12.91,12.91,14.66,14.66,14.66
15.3,12.89,12.89,12.89,12.89,14.63,14.63,14.63
15.4,12.88,12.88,12.88,12.88,14.59,14.59,14.59
15.5,12.86,12.86,12.86,12.86,14.55,14.55,14.55
15.6,12.85,12.85,12.85,12.85,14.52,14.52,14.52
15.7,12.81,12.81,12.81,12.81,14.48,14.48,14.48
15.8,12.76,12.76,12.76,12.76,14.44,14.44,14.44
15.9,12.72,12.72,12.72,12.72,14.41,14.41,14.41
16,12.67,12.67,12.67,12.67,14.37,14.37,14.37
16.1,12.62,12.62,12.62,12.62,14.32,14.32,14.32
16.2,12.57,12.57,12.57,12.57,14.28,14.28,14.28
16.3,12.52,12.52,12.52,12.52,14.23,14.23,14.23
16.4,12.48,12.48,12.48,12.48,14.18,14.18,14.18
16.5,12.43,12.43,12.43,12.43,14.14,14.14,14.14
16.6,12.38,12.38,12.38,12.38,14.09,14.09,14.09
16.7,12.33,12.33,12.33,12.33,14.04,14.04,14.04
16.8,12.29,12.29,12.29,12.29,14,14,14
16.9,12.24,12.24,12.24,12.24,13.95,13.95,13.95
17,12.19,12.19,12.19,12.19,13.91,13.91,13.91
17.1,12.14,12.14,12.14,12.14,13.86,13.86,13.86
17.2,12.09,12.09,12.09,12.09,13.81,13.81,13.81
17.3,12.03,12.03,12.03,12.03,13.75,13.75,13.75
17.4,11.98,11.98,11.98,11.98,13.68,13.68,13.68
17.5,11.93,11.93,11.93,11.93,13.61,13.61,13.61
17.6,11.87,11.87,11.87,11.87,13.54,13.54,13.54
17.7,11.82,11.82,11.82,11.82,13.46,13.46,13.46
17.8,11.77,11.77,11.77,11.77,13.39,13.39,13.39
17.9,11.72,11.72,11.72,11.72,13.32,13.32,13.32
18,11.66,11.66,11.66,11.66,13.25,13.25,13.25
18.1,11.61,11.61,11.61,11.61,13.18,13.18,13.18
18.2,11.56,11.56,11.56,11.56,13.11,13.11,13.11
18.3,11.51,11.51,11.51,11.51,13.03,13.03,13.03
18.4,11.45,11.45,11.45,11.45,12.96,12.96,12.96
18.5,11.4,11.4,11.4,11.4,12.89,12.89,12.89
18.6,11.35,11.35,11.35,11.35,12.82,12.82,12.82
18.7,11.3,11.3,11.3,11.3,12.72,12.72,12.72
18.8,11.23,11.23,11.23,11.23,12.61,12.61,12.61
18.9,11.15,11.15,11.15,11.15,12.51,12.51,12.51
19,11.07,11.07,11.07,11.07,12.4,12.4,12.4
19.1,10.99,10.99,10.99,10.99,12.29,12.29,12.29
19.2,10.91,10.91,10.91,10.91,12.19,12.19,12.19
19.3,10.83,10.83,10.83,10.83,12.08,12.08,12.08
19.4,10.75,10.75,10.75,10.75,11.97,11.97,11.97
19.5,10.66,10.66,10.66,10.66,11.86,11.86,11.86
19.6,10.58,10.58,10.58,10.58,11.76,11.76,11.76
19.7,10.5,10.5,10.5,10.5,11.65,11.65,11.65
19.8,10.42,10.42,10.42,10.42,11.55,11.55,11.55
19.9,10.34,10.34,10.34,10.34,11.44,11.44,11.44
20,10.26,10.26,10.26,10.26,11.34,11.34,11.34
